gml_id,idurba,nom,etiquette,etiquetmin,siren_nom,siren,nat_jurid,siren_nom2,siren2,nat_jurid2,etat,etat_txt,anneeappro,datappro,datefin,proc_cours,etat_proc,typeproc,typeproc_t,typeproc_d,diag_d,padd_d,doo_d,arret_d,delibreg,delibreg_d,siteweb,siteweb2,dialogue_n,dialogue_t,sdci,nbre_com,pop,surf_km2,info_compl,modif_date,typedoc,padd,rapport,doo,urlrapport,urlpadd,urldoo,urlpe,metadata
scot_approuves.200029692_SCOT_20171213,200029692_SCOT_20171213,SCOT DU PAYS DU SANTERRE HAUTE SOMME,PAYS DU SANTERRE HAUTE SOMME,Pays du Santerre Haute Somme,SYNDICAT MIXTE DU PAYS SANTERRE HAUTE SOMME,200029692,Syndicat mixte fermé,PETR COEUR DES HAUTS DE FRANCE,200078244,Pôle d'équilibre territorial et rural (PETR),3,Opposable,2017,13/12/2017,,,,,,,,,,23/02/2017,20170594,18/05/2017,https://www.coeurdeshautsdefrance.fr/pages/amenagement-du-territoire/scot.html,,8,Aisne Nord - Est Somme,oui,144,66615,1030,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.200043495_SCOT_20190307,200043495_SCOT_20190307,SCOT DU PAYS DE LAON,PAYS DE LAON,Pays de Laon,COMMUNAUTE D'AGGLOMERATION DU PAYS DE LAON,200043495,Communauté d'agglomération,,,,3,Opposable,2019,07/03/2019,,,,,,,,,,29/03/2018,,,http://www.ca-paysdelaon.fr/scot.html,,7,Aisne Sud,,38,43961,318,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.200019990_SCOT_20140130,200019990_SCOT_20140130,SCOT DU PAYS MARITIME ET RURAL DU MONTREUILLOIS,PAYS MARITIME ET RURAL DU MONTREUILLOIS,Pays maritime et rural du Montreuillois,SYNDICAT MIXTE SCHEMA COHERENCE TERRITORIALE PAYS MARITIME RURAL,200019990,Syndicat mixte fermé,SYNDICAT MIXTE DU SCHEMA DE COHERENCE TERRITORIALE DU PAYS MARITIME ET RURAL DU MONTREUILLOIS,200048221,Pôle d'équilibre territorial et rural (PETR),3,Opposable,2014,30/01/2014,,,,,,,,,,,,07/10/2013,https://www.ca2bm.fr/urbanisme/le-scot-schema-de-coherence-territoriale,https://lgp-avocats-blog.fr/2020/10/02/annulation-partielle-du-scot-du-pays-maritime-et-rural-du-montreuillois-a-publier/,5,Littoral Sud,oui,70,77181,637,Annulation partielle le 2020-06-30 (cf lien web 2),23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000863_SCOT_20060629,246000863_SCOT_20060629,SCOT DE LA THELLOISE,THELLOISE,Thelloise,COMMUNAUTE DE COMMUNES DU PAYS DE THELLE,246000863,Communauté de communes,CC THELLOISE,200067973,Communauté de communes,3,Opposable,2006,29/06/2006,,,,,,,,,,,,,https://www.thelloise.fr/amenagement-du-territoire-urbanisme/scot,,6,Oise,oui,34,47107,252,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.200009918_SCOT_20130326,200009918_SCOT_20130326,SCOT DU GRAND CREILLOIS,GRAND CREILLOIS,Grand Creillois,SYNDICAT MIXTE DU GRAND CREILLOIS,200009918,Syndicat mixte fermé,SYNDICAT MIXTE DU BASSIN CREILLOIS ET DES VALLEES BRETHOISE,200009918,Syndicat mixte fermé,3,Opposable,2013,26/03/2013,,,,,,,,,,,,,https://www.creilsudoise.fr/cadre-de-vie/strategie-territoriale/scot,https://www.smbcvb.fr/?page=35,6,Oise,,14,95595,100,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000921_SCOT_20110628,246000921_SCOT_20110628,SCOT DU PAYS D'OISE ET D'HALATTE,PAYS D'OISE ET D'HALATTE,Pays d'Oise et d'Halatte,COMMUNAUTE DE COMMUNES DES PAYS OISE ET HALATTE,246000921,Communauté de communes,,,,3,Opposable,2011,28/06/2011,,,,,,,,,,,,,https://www.ccpoh.fr/amenager-le-territoire/planification/scot/le-scot-de-la-ccpoh,https://oiselavallee.org/?p=273,6,Oise,,17,34798,140,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246001010_SCOT_20121215,246001010_SCOT_20121215,SCOT DE l'ARC,ARC,Arc,CA AGGLOMERATION DE LA REGION DE COMPIEGNE,246001010,Communauté d'agglomération,CA AGGLOMERATION DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,200067965,Communauté d'agglomération,3,Opposable,2012,15/12/2012,,,,1,Elaboration,,,,,,,28/09/2012,https://www.agglo-compiegne.fr/scot,,6,Oise,oui,16,73925,209,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.246000749_SCOT_20080201,246000749_SCOT_20080201,SCOT DES LISIERES DE L'OISE,LISIERES DE L'OISE,Lisières de l'Oise,CC DES LISIERES DE L'OISE,246000749,Communauté de communes,,,,3,Opposable,2008,01/02/2008,,,,,,,,,,29/06/2007,,,https://ccloise.com/schema-de-coherence-territoriale-scot/,https://ccloise.com/bilan-du-scot-reunion-publique-le-8-octobre-2020-a-couloisy/,6,Oise,,20,16958,211,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.200013696_SCOT_20170310,200013696_SCOT_20170310,SCOT DU GRAND AMIENOIS,GRAND AMIENOIS,Grand Amiénois,SYNDICAT MIXTE DU PAYS DU GRAND AMIENOIS,200013696,Syndicat mixte fermé,POLE METROPOLITAIN DU GRAND AMIENOIS,200082063,Pôle métropolitain,3,Opposable,2017,10/03/2017,,,,3,Modification simplifiée,,,,,,,,<![CDATA[http://www.aduga.org/index.php?lvl=cmspage&pageid=4&id_article=914]]>,,9,Grand Amiénois - Grand Roye,oui,382,346401,3036,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
scot_approuves.256203480_SCOT_20080229,256203480_SCOT_20080229,SCOT DE L'ARTOIS,ARTOIS,Artois,SMESCOTA,256203480,Syndicat mixte fermé,"CA DE BETHUNE-BRUAY, ARTOIS-LYS ROMANE",200072460,Communauté d'agglomération,3,Opposable,2008,29/02/2008,,,,,,,,,,,,,https://www.scotdelartois.fr/le-scot-de-lartois/documents-constitutifs/,,3,Artois - Artois Douaisis,oui,100,281249,647,,23/02/2021,SCOT,,,,,,,,https://geocatalogue.hautsdefrance.fr/geonetwork/srv/fre/catalog.search#/metadata/ee965118-2416-4d48-b07e-bbc696f002c2
